Player Number,Player,Position,Born,Dob,Height,Goals,YC Y,RC R,Weight
1, Wojciech Szczesny,Goalkeeper,Poland,18/04/1990,1.96,0,5,0,84 kg
3, Bacary Sagna,Defender,France,14/02/1983,1.76,3,17,1,72 kg
4, Per Mertesacker,Defender,Germany,29/09/1984,1.98,3,5,1,90 kg
5, Thomas Vermaelen,Defender,Belgium,14/11/1985,1.8,13,13,1,75 kg
6, Laurent Koscielny,Defender,France,0/09/1985,1.86,6,17,4,75 kg
7, Tomas Rosicky,Midfielder,Czech Republic,4/10/80,1.78,15,16,0,65 kg
8, Mikel Arteta,Midfielder,Spain,26/03/1982,1.8,12,10,0,64 kg
9, Lukas Podolski,Forward,Poland,4/6/85,1.82,13,1,0,83 kg
11, Mesut Özil,Midfielder,Germany,15/10/1988,1.83,0,0,0,76 kg
12, Olivier Giroud,Forward,France,30/09/1986,1.92,15,3,1,88 kg
13, Emiliano Viviano,Goalkeeper,Italy,1/12/85,1.95,0,0,0,88 kg
14, Theo Walcott,Midfielder,England,16/03/1989,1.76,40,4,0,68 kg
16, Aaron Ramsey,Midfielder,Wales,26/12/1990,1.77,9,11,0,70 kg
17, Nacho Monreal,Defender,Spain,26/02/1986,1.78,1,2,0,72 kg
19, Santiago Cazorla,Midfielder,Spain,13/12/1984,1.68,12,2,0,66 kg
20, Mathieu Flamini,Midfielder,France,7/3/84,1.78,7,13,0,67 kg
21, Lukasz Fabianski,Goalkeeper,Poland,18/04/1985,1.9,0,1,0,83 kg
2, Yaya Sanogo,Forward,France,27/01/1993,1.91,0,0,0,74 kg
24, Vassiriki Abou Diaby,Midfielder,France,11/5/86,1.92,14,12,2,74 kg
2, Kieran Gibbs,Defender,England,26/09/1989,1.78,1,6,0,70 kg
30, Park Chu-Young,Forward,South Korea,10/7/85,1.83,0,0,0,70 kg
4, Isaac Hayden,Defender,England,22/03/1995,1.8,0,0,0,70 kg
52, Nicklas Bendtner,Forward,Denmark,16/01/1988,1.9,22,7,1,76 kg
58, Gedion Zelalem,Midfielder,Germany,26/01/1997,1.82,0,0,0,66 kg
20, Johan Djourou,Defender,Switzerland,,86,1,9,1,